Rank,University_Name,National/Regional Rank,Alumni,Award,Hici,N&S,PUB,PCP,Country
901-1000,universite de tunis el manar,1/1,0,0,0,3.5,25.1,10.7,TN
901-1000,university of ghana,1/1,0,0,0,6.2,23.6,10.4,GH
901-1000,hassan ii university of casablanca,1/1,0,0,6.5,2.9,20.5,9.2,AE
901-1000,comenius university in bratislava,1/1,0,0,0,5.2,25.5,11,SK
901-1000,singapore university of technology & design,1/4,0,0,9.2,4.7,17.5,8.6,Singapore
901-1000,universidad andrés bello,1/4,0,0,6.5,4,21.1,9.5,CL
901-1000,university of lahore,3/5,0,0,0,1.4,27.5,11.7,PK
901-1000,linnaeus university,1/13,0,0,6.5,3.5,19,13.3,HK
901-1000,university of wuppertal,49-51,0,0,0,6.9,19.3,19.4,JO
901-1000,abdul wali khan university mardan,3/5,0,0,6.5,3.8,20.9,9.4,AE
